Term,Term Two,Definition,Closest MeSH term,Synonym 1,Synonym 2,Synonym 3,Abbreviation,UK Spelling,US Spelling,Noun Form of Word,Verb Form of Word,Adjective Form of Word,Adverb Form of Word,Commonly Associated Term 1,Commonly Associated Term 2,Commonly Associated Term 3,Commonly Associated Term 4,Commonly Associated Term 5,Commonly Associated Term 6,Commonly Associated Term 7,Commonly Associated Term 8
Acetylcholine,,"A neurotransmitter involved in muscle activation, attention, arousal, and memory. It acts at both nicotinic and muscarinic receptors throughout the central and peripheral nervous systems.",Acetylcholine,,,,ACh,,,acetylcholine,,cholinergic,,neurotransmitter,nicotinic receptor,muscarinic receptor,muscle activation,memory,attention,arousal,synaptic transmission
Achromatopsia,,"Loss of color vision, either congenital (due to cone photoreceptor dysfunction) or acquired (cerebral achromatopsia, due to damage to extrastriate visual cortex).",Color Vision Defects,cerebral achromatopsia,,,,,,,,,,color vision,visual cortex,extrastriate cortex,vision disorder,cortical blindness,,,
Action potential,,A rapid electrical signal that travels down the axon of a neuron.,Action Potentials,nerve impulse,spike,,AP,,,action potential,,,,axon,depolarization,sodium channel,potassium channel,threshold,all-or-none,neural signaling,
Activation,,"The time-dependent opening of ion channels in response to a stimulus, typically membrane depolarization.",,,,,,,,activation,activate,,,ion channel,depolarization,stimulus,membrane potential,gating,,,
Adaptation,,The phenomenon of sensory receptor adjustment to different levels of stimulation; critical for allowing sensory systems to operate over a wide dynamic range.,"Adaptation, Physiological",sensory adaptation,,,,,,adaptation,adapt,adaptive,,sensory receptor,stimulus,dynamic range,receptor sensitivity,habituation,,,
Adenylyl cyclase,,Membrane-bound enzyme that can be activated by G-proteins to catalyze the synthesis of cyclic AMP from ATP.,Adenylyl Cyclases,adenylate cyclase,,,AC,,,,,,,G-protein,cyclic AMP,ATP,second messenger,signal transduction,enzyme,,
Adrenal cortex,,"The outer region of the adrenal gland, responsible for producing steroid hormones such as cortisol and aldosterone, which regulate metabolism and stress responses.",Adrenal Cortex,,,,,,,,,adrenocortical,,adrenal gland,cortisol,aldosterone,steroid hormones,stress response,metabolism,,
Adrenal medulla,,"The central part of the adrenal gland that, under visceral motor stimulation, secretes epinephrine and norepinephrine into the bloodstream.",Adrenal Medulla,,,,,,,,,adrenomedullary,,adrenal gland,epinephrine,norepinephrine,catecholamine,stress response,sympathetic nervous system,,
Adrenaline,,"Also known as epinephrine. A hormone and neurotransmitter produced by the adrenal medulla that plays a key role in the fight-or-flight response, increasing heart rate, blood pressure, and energy availability.",Epinephrine,epinephrine,,,EPI,,,,,,,catecholamine,stress hormone,fight-or-flight,neurotransmitter,adrenal medulla,,,
Afferent nerve fiber,,An axon that conducts action potentials from the periphery toward the central nervous system.,Afferent Pathways,sensory fiber,,,,,,,,afferent,,axon,action potential,central nervous system,sensory neuron,peripheral nervous system,neural pathway,,
Agnosia,,"The inability to name objects, typically resulting from brain damage in the occipital or temporal lobes.",Agnosia,,,,,,,agnosia,,,,brain damage,occipital lobe,temporal lobe,object recognition,perception,visual processing,,
Agonist,,"A chemical that binds to and activates a receptor, mimicking the action of a natural neurotransmitter.",,,,,,,,agonist,,agonistic,,receptor,neurotransmitter,binding,activation,pharmacology,ligand,,
Akinesia,,"A loss or impairment of voluntary movement, often associated with Parkinson's disease and basal ganglia dysfunction.",Hypokinesia,,,,,,,akinesia,,akinetic,,Parkinson's disease,basal ganglia,movement disorder,voluntary movement,motor control,bradykinesia,,
Allodynia,,"A condition in which normally non-painful stimuli are perceived as painful, often due to nerve damage or sensitization.",Hyperalgesia,,,,,,,allodynia,,,,pain,nerve damage,sensitization,sensory perception,neuropathy,chronic pain,,
Alpha wave,,"A type of brainwave oscillation in the frequency range of 8–13 Hz, commonly associated with relaxed, wakeful states and measured using electroencephalography (EEG).",Alpha Rhythm,alpha rhythm,alpha oscillation,,,,,,,,,brainwave,electroencephalography,EEG,relaxation,wakeful state,neural oscillation,frequency,
Alzheimer's disease,,"A progressive neurodegenerative disorder characterized by memory loss, cognitive decline, and the presence of amyloid plaques and neurofibrillary tangles in the brain.",Alzheimer Disease,,,,AD,,,,,,,neurodegeneration,dementia,amyloid plaque,neurofibrillary tangle,memory loss,cognitive decline,tau protein,beta-amyloid
Amygdala,,"A brain structure involved in emotion, particularly fear, aggression, and emotional memory formation. It is part of the limbic system.",Amygdala,,,,,,,,,amygdalar,,limbic system,emotion,fear,aggression,emotional memory,temporal lobe,,
Anencephaly,,"A severe congenital condition in which a major portion of the brain, skull, and scalp is missing due to failed closure of the neural tube.",Anencephaly,,,,,,,,,,,neural tube defect,congenital disorder,brain development,embryology,skull,,,
Anhedonia,,"The inability to experience pleasure, commonly associated with depression and certain neurological disorders.",Anhedonia,,,,,,,anhedonia,,,,depression,pleasure,reward,motivation,mood disorder,dopamine,,
Anterograde amnesia,,A form of memory loss in which new memories cannot be formed following brain injury or trauma; often associated with damage to the hippocampus.,"Amnesia, Anterograde",anterograde memory loss,,,,,,,,,,amnesia,memory,hippocampus,brain injury,memory formation,consolidation,,
