Term,Term Two,Definition,Closest MeSH term,Synonym 1,Synonym 2,Synonym 3,Abbreviation,UK Spelling,US Spelling,Noun Form of Word,Verb Form of Word,Adjective Form of Word,Adverb Form of Word,Commonly Associated Term 1,Commonly Associated Term 2,Commonly Associated Term 3,Commonly Associated Term 4,Commonly Associated Term 5,Commonly Associated Term 6,Commonly Associated Term 7,Commonly Associated Term 8
Pacinian corpuscle,,"A type of rapidly adapting mechanoreceptor located deep in the skin, responsible for detecting vibration and pressure.",Pacinian Corpuscles,Pacini's corpuscle,lamellar corpuscle,,,,,,,,,mechanoreceptor,vibration,pressure sensation,skin,sensory receptor,somatosensory system,,
Pain,,"An unpleasant sensory and emotional experience associated with actual or potential tissue damage. In neuroscience, pain is studied through nociception, pain pathways, and perception.",Pain,,,,,,,pain,,painful,painfully,nociception,nociceptor,pain pathway,tissue damage,sensory perception,emotional experience,,
Paralysis,,"The loss of voluntary muscle function, often caused by damage to the brain, spinal cord, or peripheral nerves.",Paralysis,,,,,,,paralysis,paralyze,paralytic,,muscle function,spinal cord injury,brain damage,peripheral nerve,motor control,,,
Paraneoplastic syndrome,,"A rare disorder triggered by an immune response to cancer that affects the nervous system. Can lead to sensory, motor, or cognitive symptoms.","Paraneoplastic Syndromes, Nervous System",paraneoplastic neurological syndrome,,,PNS,syndrome,syndrome,,,paraneoplastic,,immune response,cancer,nervous system,autoimmune,neurological disorder,,,
Parietal lobe,,"A region of the cerebral cortex located near the top and back of the brain, involved in processing somatosensory information, spatial orientation, and body awareness.",Parietal Lobe,,,,,,,,,parietal,,cerebral cortex,somatosensory,spatial orientation,body awareness,postcentral gyrus,,,
Parkinson's disease,Parkinsons disease,"A neurodegenerative disorder characterized by tremors, rigidity, bradykinesia, and postural instability. Caused by loss of dopaminergic neurons in the substantia nigra.",Parkinson Disease,Parkinsonism,,,PD,,,,,parkinsonian,,dopamine,substantia nigra,tremor,bradykinesia,rigidity,neurodegeneration,basal ganglia,
Parvocellular pathway,,"A visual processing stream originating in small ganglion cells of the retina, responsible for high-acuity and color vision. Projects to the lateral geniculate nucleus.",Visual Pathways,P pathway,,,,colour,color,,,parvocellular,,visual processing,ganglion cell,retina,color vision,lateral geniculate nucleus,visual acuity,,
Periaqueductal gray,,"A midbrain region involved in pain modulation, defensive behavior, and autonomic regulation. Contains opioid receptors and descending pain control pathways.",Periaqueductal Gray,periaqueductal grey,,,PAG,grey,gray,,,,,midbrain,pain modulation,opioid receptor,defensive behavior,autonomic regulation,descending pain pathway,,
Peripheral nervous system,,All nerves and ganglia outside the brain and spinal cord. It includes sensory and motor neurons as well as autonomic nerves.,Peripheral Nervous System,,,,PNS,,,,,peripheral,,sensory neuron,motor neuron,autonomic nervous system,ganglion,nerve,,,
Periventricular,,Located near or surrounding the brain's ventricular system. Often used to describe regions affected in diseases like multiple sclerosis.,Cerebral Ventricles,,,,,,,,,periventricular,,ventricle,ventricular system,multiple sclerosis,white matter,,,,
PET scan,,"A neuroimaging technique that uses radioactive tracers to measure metabolic processes, often used to study brain activity, neurotransmitter systems, and disease progression.",Positron-Emission Tomography,positron emission tomography,,,PET,,,,,,,neuroimaging,radioactive tracer,brain activity,metabolism,neurotransmitter,,,
Phantom limb,,"A phenomenon in which amputees feel sensations, including pain, in a limb that is no longer present. Thought to result from cortical reorganization.",Phantom Limb,,,,,,,,,,,amputation,cortical reorganization,phantom pain,somatosensory cortex,neuroplasticity,,,
Phenotype,,"The observable characteristics of an organism resulting from the interaction of its genotype with the environment. In neuroscience, may include behavioral traits, brain structure, or disease symptoms.",Phenotype,,,,,,,phenotype,,phenotypic,phenotypically,genotype,genetics,environment,behavior,brain structure,,,
Phineas Gage,,"A famous historical case in neuroscience involving a railroad worker who survived a frontal lobe injury, providing early evidence of the brain's role in personality and behavior.",Frontal Lobe,,,,,behaviour,behavior,,,,,frontal lobe,personality,behavior,brain injury,neuropsychology,case study,,
Photoreceptor,,A specialized neuron in the retina (rods and cones) that converts light into neural signals for visual processing.,Photoreceptor Cells,photoreceptor cell,,,,,,photoreceptor,,,,retina,rod,cone,vision,phototransduction,light,,
Pia mater,,The innermost of the three meninges surrounding the brain and spinal cord. It closely follows the contours of the brain surface.,Pia Mater,,,,,,,,,,,meninges,brain,spinal cord,arachnoid mater,dura mater,,,
Place cell,,A neuron in the hippocampus that becomes active when an animal is in a specific location. Central to the brain's internal spatial mapping system.,Place Cells,,,,,,,,,,,hippocampus,spatial navigation,spatial memory,cognitive map,location,,,
Plasticity,,"The brain's ability to adapt and reorganize itself through experience, learning, or following injury. See also neuroplasticity.",Neuronal Plasticity,neuroplasticity,brain plasticity,,,,,plasticity,,plastic,,learning,adaptation,reorganization,experience,injury recovery,synaptic plasticity,,
Pons,,"A structure in the brainstem that relays signals between the cerebrum and cerebellum, and plays roles in sleep, respiration, and facial sensation.",Pons,,,,,,,,,pontine,,brainstem,cerebellum,cerebrum,sleep,respiration,facial sensation,,
Postcentral gyrus,,"The gyrus in the parietal lobe that contains the primary somatosensory cortex, responsible for processing tactile information from the body.",Somatosensory Cortex,,,,,,,,,postcentral,,parietal lobe,primary somatosensory cortex,tactile,sensory processing,gyrus,,,
Posterior parietal cortex,,A region involved in integrating sensory information for spatial awareness and movement planning. Important in reaching and grasping tasks.,Parietal Lobe,,,,PPC,,,,,,,sensory integration,spatial awareness,movement planning,reaching,grasping,visuomotor control,,
Postganglionic neuron,,"A neuron in the autonomic nervous system that extends from a ganglion to a target organ, influencing functions such as heart rate and digestion.","Autonomic Fibers, Postganglionic",,,,,,,,,postganglionic,,autonomic nervous system,ganglion,preganglionic neuron,sympathetic,parasympathetic,,,
Postsynaptic potential,,A change in membrane potential in a neuron following activation of synaptic receptors. Can be excitatory (EPSP) or inhibitory (IPSP).,Excitatory Postsynaptic Potentials,,,,PSP,,,,,postsynaptic,,EPSP,IPSP,membrane potential,synapse,synaptic receptor,,,
Prefrontal cortex,,"The front part of the frontal lobe involved in decision-making, planning, social behavior, and personality. Highly developed in humans.",Prefrontal Cortex,,,,PFC,behaviour,behavior,,,prefrontal,,frontal lobe,executive function,decision-making,planning,working memory,personality,social behavior,
Presynaptic terminal,,The end of an axon where neurotransmitters are released into the synaptic cleft following an action potential.,Presynaptic Terminals,axon terminal,synaptic bouton,nerve terminal,,,,,,presynaptic,,axon,neurotransmitter,synaptic cleft,action potential,synaptic vesicle,,,
